F_TPSA,V_tuyen,K
24.03571429,49,0
43.5,17.3,0
30.28571429,44.1,0
45,26.3,0
15.4806867,76.1,0
24.45714286,65.4,0
25.28125,52.7,0
37.1,30.4,0
30.59183673,55.7,0
25.01357466,125.7,0
5.909090909,16,0
24.54166667,72.8,0
13.2,60.5,0
55.41212121,53.8,0
13.77777778,92.6,0
68.09090909,35.2,0
88.14285714,31.2,0
13.20855615,56.4,0
60.19444444,74,0
32.33333333,29.2,0
16.20833333,50.5,0
14.71428571,,0
10.11764706,,0
14.56140351,57.6,0
33.19354839,33.5,0
29.09090909,34.4,0
16.32038835,44.5,0
19.27027027,68.3,0
17.57377049,39.6,0
8.243243243,26.7,0
13.46315789,37.7,0
30.47457627,60,0
16.82653061,24.6,0
38.12857143,65.1,0
12.61764706,44,0
47.33333333,30,0
12.8,68.8,0
59.85106383,84.6,0
27,27.3,0
19.93506494,126.1,0
13.46899225,64.4,0
19.76923077,19.2,0
21.175,49.1,0
14.0952381,54.1,0
12.15727273,35.4,1
31.80530973,44.7,1
5.730883813,18.8,1
11.16903409,50,1
10.76470588,27,1
7.919117647,29.4,1
18.1665005,30.4,1
17.21868132,100,1
7.495495495,25.81,1
13.07738392,40.5,1
